,t,c,o,h,l,v,s
65,1199232000,6.13,6.09,6.13,6.05,156160,ok
66,1199318400,6.01,6.05,6.09,6.01,111990,ok
67,1199404800,5.93,5.97,5.97,5.93,66670,ok
68,1199664000,5.85,5.89,5.93,5.78,117490,ok
69,1199750400,5.89,5.85,6.01,5.85,109010,ok
70,1199836800,5.82,5.89,5.93,5.82,56360,ok
71,1199923200,5.58,5.62,5.7,5.58,291740,ok
72,1200009600,5.66,5.62,5.7,5.62,78900,ok
73,1200268800,5.66,5.85,5.85,5.66,215790,ok
74,1200355200,5.42,5.46,5.5,5.38,199290,ok
75,1200441600,5.66,5.58,5.66,5.58,171870,ok
76,1200528000,5.66,5.89,5.93,5.5,248700,ok
77,1200614400,5.74,5.66,5.78,5.58,187430,ok
78,1200873600,5.58,5.66,5.66,5.58,189070,ok
79,1200960000,5.46,5.43,5.54,5.43,165780,ok
80,1201046400,5.23,5.37,5.4,5.23,227280,ok
81,1201219200,5.32,5.23,5.32,5.23,84860,ok
82,1201478400,5.32,5.32,5.32,5.26,106560,ok
83,1201564800,5.4,5.26,5.4,5.26,188520,ok
84,1201651200,5.66,5.66,5.66,5.66,67320,ok
85,1201737600,5.83,5.54,5.83,5.49,181330,ok
86,1201824000,6.11,5.88,6.11,5.83,158800,ok
87,1202774400,5.94,6.0,6.0,5.88,109200,ok
88,1202860800,5.88,5.83,5.94,5.77,133470,ok
89,1202947200,5.94,5.88,6.05,5.88,64140,ok
90,1203033600,5.88,5.88,5.94,5.88,98660,ok
91,1203292800,5.71,5.71,5.71,5.63,106770,ok
92,1203379200,5.71,5.54,5.77,5.54,84920,ok
93,1203465600,5.66,5.71,5.77,5.63,186550,ok
94,1203552000,5.37,5.37,5.37,5.37,307420,ok
95,1203638400,5.2,5.2,5.2,5.12,90510,ok
96,1203897600,5.46,5.46,5.46,5.46,55810,ok
97,1203984000,5.43,5.43,5.54,5.34,144900,ok
98,1204070400,5.43,5.32,5.6,5.32,63040,ok
99,1204156800,5.51,5.49,5.51,5.43,68010,ok
100,1204243200,5.43,5.43,5.49,5.43,137890,ok
101,1204502400,5.17,5.37,5.37,5.17,120440,ok
102,1204588800,4.92,4.92,5.17,4.92,208800,ok
103,1204675200,4.81,4.69,4.92,4.69,270640,ok
104,1204761600,5.03,5.03,5.03,5.03,11150,ok
105,1204848000,5.26,5.26,5.26,5.26,113590,ok
106,1205107200,5.43,5.51,5.51,5.32,326010,ok
107,1205193600,5.29,5.26,5.32,5.23,100450,ok
108,1205280000,5.29,5.2,5.49,5.2,39920,ok
109,1205366400,5.32,5.49,5.49,5.26,46390,ok
110,1205452800,5.34,5.26,5.34,5.26,82740,ok
111,1205712000,5.23,5.2,5.32,5.2,128040,ok
112,1205798400,5.01,4.98,5.15,4.98,134940,ok
113,1205884800,5.01,5.01,5.15,4.98,45390,ok
114,1205971200,5.03,5.09,5.09,5.01,87310,ok
115,1206057600,4.98,5.03,5.03,4.92,52050,ok
116,1206316800,4.75,4.78,4.78,4.75,154630,ok
117,1206403200,4.53,4.53,4.55,4.53,178050,ok
118,1206489600,4.75,4.75,4.75,4.75,47960,ok
119,1206576000,4.78,4.78,4.78,4.78,51090,ok
120,1206662400,4.81,4.81,4.81,4.81,2070,ok
121,1206921600,4.84,4.84,4.84,4.84,3020,ok
122,1207008000,4.86,4.86,4.86,4.86,530,ok
123,1207094400,4.89,4.89,4.89,4.89,2360,ok
124,1207180800,4.92,4.92,4.92,4.92,33500,ok
125,1207267200,4.95,4.95,4.95,4.95,52460,ok
126,1207526400,5.03,5.03,5.03,5.03,2670,ok
127,1207612800,5.12,5.12,5.12,5.12,193450,ok
128,1207699200,5.2,5.2,5.2,5.2,22410,ok
129,1207785600,5.29,5.29,5.29,5.12,262980,ok
130,1207872000,5.23,5.2,5.23,5.2,164600,ok
131,1208304000,5.15,5.15,5.17,5.15,136390,ok
132,1208390400,5.23,5.06,5.23,5.06,154750,ok
133,1208476800,5.15,5.32,5.32,5.15,117310,ok
134,1208736000,5.2,5.15,5.2,5.09,82260,ok
135,1208822400,5.2,5.12,5.2,5.12,20670,ok
136,1208908800,5.12,5.12,5.12,5.12,68250,ok
137,1208995200,5.03,5.03,5.06,5.03,97210,ok
138,1209081600,5.12,4.98,5.12,4.98,31170,ok
139,1209340800,5.2,5.17,5.2,5.17,67610,ok
140,1209427200,5.29,5.29,5.29,5.2,142440,ok
141,1209945600,5.2,5.29,5.32,5.2,32320,ok
142,1210032000,5.12,5.12,5.12,5.12,4640,ok
143,1210118400,5.2,5.03,5.2,5.03,92580,ok
144,1210204800,5.2,5.12,5.2,5.12,87260,ok
145,1210291200,5.12,5.12,5.12,5.12,1320,ok
146,1210550400,5.03,5.03,5.03,5.03,660,ok
147,1210636800,4.95,4.95,4.95,4.95,60,ok
148,1210723200,4.86,4.86,4.86,4.86,230,ok
149,1210809600,4.78,4.81,4.81,4.78,4420,ok
150,1210896000,4.69,4.69,4.69,4.69,28510,ok
151,1211155200,4.61,4.61,4.61,4.61,84520,ok
152,1211241600,4.53,4.53,4.53,4.53,4270,ok
153,1211328000,4.44,4.44,4.44,4.44,470,ok
154,1211414400,4.36,4.36,4.36,4.36,90660,ok
155,1211500800,4.27,4.27,4.36,4.27,774950,ok
156,1211760000,4.18,4.18,4.18,4.18,432440,ok
157,1212105600,4.13,4.13,4.13,4.13,533870,ok
158,1212364800,4.07,4.07,4.07,4.07,309100,ok
159,1212451200,4.02,4.02,4.02,4.02,139990,ok
160,1212537600,4.07,3.96,4.07,3.96,217760,ok
161,1212624000,4.13,4.04,4.13,4.02,143800,ok
162,1212710400,4.18,4.18,4.18,4.18,59450,ok
163,1212969600,4.24,4.24,4.24,4.24,54800,ok
164,1213056000,4.16,4.16,4.18,4.16,35250,ok
165,1213142400,4.21,4.1,4.21,4.1,95560,ok
166,1213228800,4.27,4.27,4.27,4.27,34780,ok
167,1213315200,4.36,4.36,4.36,4.36,57400,ok
168,1213574400,4.44,4.44,4.44,4.44,5360,ok
169,1213660800,4.53,4.53,4.53,4.53,10520,ok
170,1213747200,4.53,4.61,4.61,4.44,319590,ok
171,1213833600,4.41,4.41,4.41,4.41,119040,ok
172,1213920000,4.53,4.3,4.53,4.3,272120,ok
173,1214179200,4.64,4.64,4.64,4.61,50530,ok
174,1214265600,4.75,4.75,4.75,4.75,36030,ok
175,1214352000,4.89,4.89,4.89,4.89,18180,ok
176,1214438400,5.01,5.03,5.03,4.86,116050,ok
177,1214524800,5.15,4.92,5.15,4.89,102260,ok
178,1214784000,5.29,5.15,5.29,5.15,63360,ok
179,1214870400,5.43,5.43,5.43,5.43,35400,ok
180,1214956800,5.57,5.57,5.57,5.37,121980,ok
181,1215043200,5.71,5.71,5.71,5.71,30380,ok
182,1215129600,5.66,5.88,5.88,5.66,173070,ok
183,1215388800,5.66,5.66,5.66,5.49,278490,ok
184,1215475200,5.66,5.51,5.66,5.49,234670,ok
185,1215561600,5.71,5.66,5.71,5.66,79660,ok
186,1215648000,5.77,5.66,5.77,5.6,133480,ok
187,1215734400,5.77,5.66,5.83,5.66,84100,ok
188,1215993600,5.94,5.83,5.94,5.77,103080,ok
189,1216080000,6.11,6.11,6.11,6.11,63290,ok
190,1216166400,6.11,6.22,6.22,5.94,100670,ok
191,1216252800,6.11,6.17,6.17,6.0,102320,ok
192,1216339200,6.11,5.94,6.11,5.94,131500,ok
193,1216598400,5.94,5.94,5.94,5.94,140410,ok
194,1216684800,5.77,5.77,5.77,5.77,113700,ok
195,1216857600,5.6,5.46,5.71,5.46,100040,ok
196,1216944000,5.71,5.49,5.71,5.49,29120,ok
197,1217203200,5.88,5.71,5.88,5.71,28360,ok
198,1217289600,6.05,6.05,6.05,5.94,37950,ok
199,1217376000,6.05,6.05,6.05,5.88,47730,ok
200,1217462400,6.0,5.88,6.0,5.88,35120,ok
201,1217548800,6.0,5.83,6.0,5.83,51080,ok
202,1217808000,6.0,5.88,6.0,5.83,42780,ok
203,1217894400,5.94,5.83,5.94,5.83,50090,ok
204,1217980800,6.11,6.11,6.11,6.0,30790,ok
205,1218067200,6.05,6.17,6.17,6.05,66220,ok
206,1218153600,6.05,6.05,6.05,6.0,57300,ok
207,1218412800,6.05,6.17,6.17,6.05,38800,ok
208,1218499200,6.0,5.94,6.05,5.94,34260,ok
209,1218585600,6.05,5.83,6.05,5.83,41550,ok
210,1218672000,6.22,6.05,6.22,6.05,176550,ok
211,1218758400,6.39,6.39,6.39,6.39,283800,ok
212,1219017600,6.67,6.67,6.67,6.62,385970,ok
213,1219104000,6.73,6.9,6.9,6.56,66730,ok
214,1219190400,6.45,6.45,6.56,6.45,91250,ok
215,1219276800,6.56,6.45,6.56,6.28,36350,ok
216,1219363200,6.33,6.56,6.56,6.33,134110,ok
217,1219622400,6.45,6.39,6.5,6.33,102310,ok
218,1219708800,6.45,6.5,6.5,6.28,135090,ok
219,1219795200,6.5,6.22,6.56,6.22,124110,ok
220,1219881600,6.33,6.22,6.45,6.22,107590,ok
221,1219968000,6.05,6.05,6.17,6.05,137120,ok
222,1220486400,5.88,6.0,6.05,5.88,113460,ok
223,1220572800,5.77,5.66,5.88,5.66,87480,ok
224,1220832000,5.83,5.49,5.83,5.49,104190,ok
225,1220918400,5.71,5.77,5.77,5.66,88690,ok
226,1221004800,5.43,5.71,5.71,5.43,98910,ok
227,1221091200,5.37,5.4,5.4,5.26,81150,ok
228,1221177600,5.12,5.12,5.32,5.12,110250,ok
229,1221436800,5.15,4.86,5.2,4.86,106760,ok
230,1221523200,4.89,5.15,5.15,4.89,68270,ok
231,1221609600,4.67,4.67,4.75,4.67,134340,ok
232,1221696000,4.44,4.44,4.44,4.44,8770,ok
233,1221782400,4.64,4.44,4.64,4.44,55080,ok
234,1222041600,4.86,4.86,4.86,4.86,1980,ok
235,1222128000,5.09,5.09,5.09,4.92,82530,ok
236,1222214400,4.92,4.86,5.2,4.86,121100,ok
237,1222300800,5.15,4.92,5.15,4.92,138590,ok
238,1222387200,5.4,5.4,5.4,5.29,141480,ok
239,1222646400,5.63,5.66,5.66,5.43,98040,ok
240,1222732800,5.37,5.37,5.37,5.37,65820,ok
241,1222819200,5.49,5.37,5.54,5.34,93830,ok
242,1222905600,5.6,5.66,5.66,5.54,83330,ok
243,1222992000,5.37,5.49,5.6,5.37,61480,ok
244,1223251200,5.12,5.15,5.29,5.12,80380,ok
245,1223337600,4.86,4.86,4.86,4.86,55180,ok
246,1223424000,4.75,4.64,4.98,4.64,66600,ok
247,1223510400,4.75,4.53,4.92,4.53,91600,ok
248,1223596800,4.55,4.55,4.61,4.55,96580,ok
249,1223856000,4.64,4.75,4.75,4.55,112380,ok
250,1223942400,4.86,4.86,4.86,4.86,46760,ok
251,1224028800,4.98,5.03,5.03,4.86,85490,ok
252,1224115200,4.78,4.75,4.92,4.75,93070,ok
253,1224201600,4.61,4.67,4.81,4.61,72950,ok
254,1224460800,4.5,4.5,4.61,4.5,56770,ok
255,1224547200,4.64,4.64,4.64,4.58,82250,ok
256,1224633600,4.67,4.47,4.67,4.47,75770,ok
257,1224720000,4.64,4.67,4.67,4.47,43120,ok
258,1224806400,4.44,4.44,4.5,4.44,83440,ok
259,1225065600,4.24,4.24,4.3,4.24,252280,ok
260,1225152000,4.04,4.04,4.04,4.04,32190,ok
261,1225238400,4.04,4.24,4.24,4.04,45410,ok
262,1225324800,3.87,3.85,3.9,3.85,113730,ok
263,1225411200,4.04,4.04,4.04,4.04,19370,ok
264,1225670400,4.04,4.04,4.07,4.04,76340,ok
265,1225756800,4.24,4.04,4.24,4.02,13750,ok
266,1225843200,4.44,4.44,4.44,4.44,13990,ok
267,1225929600,4.44,4.24,4.64,4.24,32750,ok
268,1226016000,4.33,4.24,4.41,4.24,17530,ok
269,1226275200,4.41,4.33,4.44,4.33,31150,ok
270,1226361600,4.36,4.41,4.41,4.27,15880,ok
271,1226448000,4.21,4.18,4.36,4.16,50750,ok
272,1226534400,4.36,4.33,4.38,4.3,64860,ok
273,1226620800,4.41,4.53,4.53,4.41,18700,ok
274,1226880000,4.41,4.33,4.41,4.33,53830,ok
275,1226966400,4.44,4.41,4.44,4.38,45650,ok
276,1227052800,4.47,4.5,4.5,4.44,44710,ok
277,1227139200,4.47,4.44,4.47,4.36,41700,ok
278,1227225600,4.44,4.44,4.47,4.44,109940,ok
279,1227484800,4.53,4.53,4.55,4.53,61240,ok
280,1227571200,4.64,4.53,4.64,4.53,82240,ok
281,1227657600,4.61,4.64,4.64,4.53,57190,ok
282,1227744000,4.55,4.58,4.64,4.55,21500,ok
283,1227830400,4.58,4.58,4.64,4.55,54050,ok
284,1228089600,4.64,4.61,4.64,4.58,41350,ok
285,1228176000,4.61,4.58,4.61,4.55,42760,ok
286,1228262400,4.61,4.61,4.64,4.61,21060,ok
287,1228348800,4.67,4.58,4.67,4.58,32940,ok
288,1228435200,4.58,4.64,4.64,4.58,30630,ok
289,1228694400,4.5,4.36,4.53,4.36,32960,ok
290,1228780800,4.64,4.41,4.64,4.41,40210,ok
291,1228867200,4.41,4.64,4.64,4.41,42320,ok
292,1228953600,4.47,4.41,4.53,4.21,48180,ok
293,1229040000,4.67,4.55,4.67,4.55,37270,ok
294,1229299200,4.75,4.81,4.81,4.69,29470,ok
295,1229385600,4.72,4.86,4.86,4.72,60630,ok
296,1229472000,4.75,4.72,4.75,4.64,35560,ok
