,t,c,o,h,l,v,s,Date,sentiment_score
0,1199232000,6.13,6.09,6.13,6.05,156160,ok,2008-01-02,50.0
1,1199318400,6.01,6.05,6.09,6.01,111990,ok,2008-01-03,50.0
2,1199404800,5.93,5.97,5.97,5.93,66670,ok,2008-01-04,50.0
3,1199664000,5.85,5.89,5.93,5.78,117490,ok,2008-01-07,50.0
4,1199750400,5.89,5.85,6.01,5.85,109010,ok,2008-01-08,50.0
5,1199836800,5.82,5.89,5.93,5.82,56360,ok,2008-01-09,50.0
6,1199923200,5.58,5.62,5.7,5.58,291740,ok,2008-01-10,50.0
7,1200009600,5.66,5.62,5.7,5.62,78900,ok,2008-01-11,50.0
8,1200268800,5.66,5.85,5.85,5.66,215790,ok,2008-01-14,50.0
9,1200355200,5.42,5.46,5.5,5.38,199290,ok,2008-01-15,50.0
10,1200441600,5.66,5.58,5.66,5.58,171870,ok,2008-01-16,50.0
11,1200528000,5.66,5.89,5.93,5.5,248700,ok,2008-01-17,50.0
12,1200614400,5.74,5.66,5.78,5.58,187430,ok,2008-01-18,50.0
13,1200873600,5.58,5.66,5.66,5.58,189070,ok,2008-01-21,50.0
14,1200960000,5.46,5.43,5.54,5.43,165780,ok,2008-01-22,50.0
15,1201046400,5.23,5.37,5.4,5.23,227280,ok,2008-01-23,50.0
16,1201219200,5.32,5.23,5.32,5.23,84860,ok,2008-01-25,50.0
17,1201478400,5.32,5.32,5.32,5.26,106560,ok,2008-01-28,50.0
18,1201564800,5.4,5.26,5.4,5.26,188520,ok,2008-01-29,50.0
19,1201651200,5.66,5.66,5.66,5.66,67320,ok,2008-01-30,50.0
20,1201737600,5.83,5.54,5.83,5.49,181330,ok,2008-01-31,50.0
21,1201824000,6.11,5.88,6.11,5.83,158800,ok,2008-02-01,50.0
22,1202774400,5.94,6.0,6.0,5.88,109200,ok,2008-02-12,50.0
23,1202860800,5.88,5.83,5.94,5.77,133470,ok,2008-02-13,50.0
24,1202947200,5.94,5.88,6.05,5.88,64140,ok,2008-02-14,50.0
25,1203033600,5.88,5.88,5.94,5.88,98660,ok,2008-02-15,50.0
26,1203292800,5.71,5.71,5.71,5.63,106770,ok,2008-02-18,50.0
27,1203379200,5.71,5.54,5.77,5.54,84920,ok,2008-02-19,50.0
28,1203465600,5.66,5.71,5.77,5.63,186550,ok,2008-02-20,50.0
29,1203552000,5.37,5.37,5.37,5.37,307420,ok,2008-02-21,50.0
30,1203638400,5.2,5.2,5.2,5.12,90510,ok,2008-02-22,50.0
31,1203897600,5.46,5.46,5.46,5.46,55810,ok,2008-02-25,50.0
32,1203984000,5.43,5.43,5.54,5.34,144900,ok,2008-02-26,50.0
33,1204070400,5.43,5.32,5.6,5.32,63040,ok,2008-02-27,50.0
34,1204156800,5.51,5.49,5.51,5.43,68010,ok,2008-02-28,50.0
35,1204243200,5.43,5.43,5.49,5.43,137890,ok,2008-02-29,50.0
36,1204502400,5.17,5.37,5.37,5.17,120440,ok,2008-03-03,50.0
37,1204588800,4.92,4.92,5.17,4.92,208800,ok,2008-03-04,50.0
38,1204675200,4.81,4.69,4.92,4.69,270640,ok,2008-03-05,50.0
39,1204761600,5.03,5.03,5.03,5.03,11150,ok,2008-03-06,50.0
40,1204848000,5.26,5.26,5.26,5.26,113590,ok,2008-03-07,50.0
41,1205107200,5.43,5.51,5.51,5.32,326010,ok,2008-03-10,50.0
42,1205193600,5.29,5.26,5.32,5.23,100450,ok,2008-03-11,50.0
43,1205280000,5.29,5.2,5.49,5.2,39920,ok,2008-03-12,50.0
44,1205366400,5.32,5.49,5.49,5.26,46390,ok,2008-03-13,50.0
45,1205452800,5.34,5.26,5.34,5.26,82740,ok,2008-03-14,50.0
46,1205712000,5.23,5.2,5.32,5.2,128040,ok,2008-03-17,50.0
47,1205798400,5.01,4.98,5.15,4.98,134940,ok,2008-03-18,50.0
48,1205884800,5.01,5.01,5.15,4.98,45390,ok,2008-03-19,50.0
49,1205971200,5.03,5.09,5.09,5.01,87310,ok,2008-03-20,50.0
50,1206057600,4.98,5.03,5.03,4.92,52050,ok,2008-03-21,50.0
51,1206316800,4.75,4.78,4.78,4.75,154630,ok,2008-03-24,50.0
52,1206403200,4.53,4.53,4.55,4.53,178050,ok,2008-03-25,50.0
53,1206489600,4.75,4.75,4.75,4.75,47960,ok,2008-03-26,50.0
54,1206576000,4.78,4.78,4.78,4.78,51090,ok,2008-03-27,50.0
55,1206662400,4.81,4.81,4.81,4.81,2070,ok,2008-03-28,50.0
56,1206921600,4.84,4.84,4.84,4.84,3020,ok,2008-03-31,50.0
57,1207008000,4.86,4.86,4.86,4.86,530,ok,2008-04-01,50.0
58,1207094400,4.89,4.89,4.89,4.89,2360,ok,2008-04-02,50.0
59,1207180800,4.92,4.92,4.92,4.92,33500,ok,2008-04-03,50.0
60,1207267200,4.95,4.95,4.95,4.95,52460,ok,2008-04-04,50.0
61,1207526400,5.03,5.03,5.03,5.03,2670,ok,2008-04-07,50.0
62,1207612800,5.12,5.12,5.12,5.12,193450,ok,2008-04-08,50.0
63,1207699200,5.2,5.2,5.2,5.2,22410,ok,2008-04-09,50.0
64,1207785600,5.29,5.29,5.29,5.12,262980,ok,2008-04-10,50.0
65,1207872000,5.23,5.2,5.23,5.2,164600,ok,2008-04-11,50.0
66,1208304000,5.15,5.15,5.17,5.15,136390,ok,2008-04-16,50.0
67,1208390400,5.23,5.06,5.23,5.06,154750,ok,2008-04-17,50.0
68,1208476800,5.15,5.32,5.32,5.15,117310,ok,2008-04-18,50.0
69,1208736000,5.2,5.15,5.2,5.09,82260,ok,2008-04-21,50.0
70,1208822400,5.2,5.12,5.2,5.12,20670,ok,2008-04-22,50.0
71,1208908800,5.12,5.12,5.12,5.12,68250,ok,2008-04-23,50.0
72,1208995200,5.03,5.03,5.06,5.03,97210,ok,2008-04-24,50.0
73,1209081600,5.12,4.98,5.12,4.98,31170,ok,2008-04-25,50.0
74,1209340800,5.2,5.17,5.2,5.17,67610,ok,2008-04-28,50.0
75,1209427200,5.29,5.29,5.29,5.2,142440,ok,2008-04-29,50.0
76,1209945600,5.2,5.29,5.32,5.2,32320,ok,2008-05-05,50.0
77,1210032000,5.12,5.12,5.12,5.12,4640,ok,2008-05-06,50.0
78,1210118400,5.2,5.03,5.2,5.03,92580,ok,2008-05-07,50.0
79,1210204800,5.2,5.12,5.2,5.12,87260,ok,2008-05-08,50.0
80,1210291200,5.12,5.12,5.12,5.12,1320,ok,2008-05-09,50.0
81,1210550400,5.03,5.03,5.03,5.03,660,ok,2008-05-12,50.0
82,1210636800,4.95,4.95,4.95,4.95,60,ok,2008-05-13,50.0
83,1210723200,4.86,4.86,4.86,4.86,230,ok,2008-05-14,50.0
84,1210809600,4.78,4.81,4.81,4.78,4420,ok,2008-05-15,50.0
85,1210896000,4.69,4.69,4.69,4.69,28510,ok,2008-05-16,50.0
86,1211155200,4.61,4.61,4.61,4.61,84520,ok,2008-05-19,50.0
87,1211241600,4.53,4.53,4.53,4.53,4270,ok,2008-05-20,50.0
88,1211328000,4.44,4.44,4.44,4.44,470,ok,2008-05-21,50.0
89,1211414400,4.36,4.36,4.36,4.36,90660,ok,2008-05-22,50.0
90,1211500800,4.27,4.27,4.36,4.27,774950,ok,2008-05-23,50.0
91,1211760000,4.18,4.18,4.18,4.18,432440,ok,2008-05-26,50.0
92,1212105600,4.13,4.13,4.13,4.13,533870,ok,2008-05-30,50.0
93,1212364800,4.07,4.07,4.07,4.07,309100,ok,2008-06-02,50.0
94,1212451200,4.02,4.02,4.02,4.02,139990,ok,2008-06-03,50.0
95,1212537600,4.07,3.96,4.07,3.96,217760,ok,2008-06-04,50.0
96,1212624000,4.13,4.04,4.13,4.02,143800,ok,2008-06-05,50.0
97,1212710400,4.18,4.18,4.18,4.18,59450,ok,2008-06-06,50.0
98,1212969600,4.24,4.24,4.24,4.24,54800,ok,2008-06-09,50.0
99,1213056000,4.16,4.16,4.18,4.16,35250,ok,2008-06-10,50.0
100,1213142400,4.21,4.1,4.21,4.1,95560,ok,2008-06-11,50.0
101,1213228800,4.27,4.27,4.27,4.27,34780,ok,2008-06-12,50.0
102,1213315200,4.36,4.36,4.36,4.36,57400,ok,2008-06-13,50.0
103,1213574400,4.44,4.44,4.44,4.44,5360,ok,2008-06-16,50.0
104,1213660800,4.53,4.53,4.53,4.53,10520,ok,2008-06-17,50.0
105,1213747200,4.53,4.61,4.61,4.44,319590,ok,2008-06-18,50.0
106,1213833600,4.41,4.41,4.41,4.41,119040,ok,2008-06-19,50.0
107,1213920000,4.53,4.3,4.53,4.3,272120,ok,2008-06-20,50.0
108,1214179200,4.64,4.64,4.64,4.61,50530,ok,2008-06-23,50.0
109,1214265600,4.75,4.75,4.75,4.75,36030,ok,2008-06-24,50.0
110,1214352000,4.89,4.89,4.89,4.89,18180,ok,2008-06-25,50.0
111,1214438400,5.01,5.03,5.03,4.86,116050,ok,2008-06-26,50.0
112,1214524800,5.15,4.92,5.15,4.89,102260,ok,2008-06-27,50.0
113,1214784000,5.29,5.15,5.29,5.15,63360,ok,2008-06-30,50.0
114,1214870400,5.43,5.43,5.43,5.43,35400,ok,2008-07-01,50.0
115,1214956800,5.57,5.57,5.57,5.37,121980,ok,2008-07-02,50.0
116,1215043200,5.71,5.71,5.71,5.71,30380,ok,2008-07-03,50.0
117,1215129600,5.66,5.88,5.88,5.66,173070,ok,2008-07-04,50.0
118,1215388800,5.66,5.66,5.66,5.49,278490,ok,2008-07-07,50.0
119,1215475200,5.66,5.51,5.66,5.49,234670,ok,2008-07-08,50.0
120,1215561600,5.71,5.66,5.71,5.66,79660,ok,2008-07-09,50.0
121,1215648000,5.77,5.66,5.77,5.6,133480,ok,2008-07-10,50.0
122,1215734400,5.77,5.66,5.83,5.66,84100,ok,2008-07-11,50.0
123,1215993600,5.94,5.83,5.94,5.77,103080,ok,2008-07-14,50.0
124,1216080000,6.11,6.11,6.11,6.11,63290,ok,2008-07-15,50.0
125,1216166400,6.11,6.22,6.22,5.94,100670,ok,2008-07-16,50.0
126,1216252800,6.11,6.17,6.17,6.0,102320,ok,2008-07-17,50.0
127,1216339200,6.11,5.94,6.11,5.94,131500,ok,2008-07-18,50.0
128,1216598400,5.94,5.94,5.94,5.94,140410,ok,2008-07-21,50.0
129,1216684800,5.77,5.77,5.77,5.77,113700,ok,2008-07-22,50.0
130,1216857600,5.6,5.46,5.71,5.46,100040,ok,2008-07-24,50.0
