,t,c,o,h,l,v,s,point
0,02/01/2008,6.13,6.09,6.13,6.05,156160,ok,68
1,03/01/2008,6.01,6.05,6.09,6.01,111990,ok,68
2,04/01/2008,5.93,5.97,5.97,5.93,66670,ok,68
3,07/01/2008,5.85,5.89,5.93,5.78,117490,ok,68
4,08/01/2008,5.89,5.85,6.01,5.85,109010,ok,68
5,09/01/2008,5.82,5.89,5.93,5.82,56360,ok,68
6,10/01/2008,5.58,5.62,5.7,5.58,291740,ok,68
7,11/01/2008,5.66,5.62,5.7,5.62,78900,ok,67.5
8,14/01/2008,5.66,5.85,5.85,5.66,215790,ok,70
9,15/01/2008,5.42,5.46,5.5,5.38,199290,ok,70
10,16/01/2008,5.66,5.58,5.66,5.58,171870,ok,70
11,17/01/2008,5.66,5.89,5.93,5.5,248700,ok,70
12,18/01/2008,5.74,5.66,5.78,5.58,187430,ok,70
13,21/01/2008,5.58,5.66,5.66,5.58,189070,ok,65
14,22/01/2008,5.46,5.43,5.54,5.43,165780,ok,65
15,23/01/2008,5.23,5.37,5.4,5.23,227280,ok,65
16,25/01/2008,5.32,5.23,5.32,5.23,84860,ok,65
17,28/01/2008,5.32,5.32,5.32,5.26,106560,ok,65
18,29/01/2008,5.4,5.26,5.4,5.26,188520,ok,75
19,30/01/2008,5.66,5.66,5.66,5.66,67320,ok,75
20,31/01/2008,5.83,5.54,5.83,5.49,181330,ok,75
21,01/02/2008,6.11,5.88,6.11,5.83,158800,ok,70
22,12/02/2008,5.94,6,6,5.88,109200,ok,70
23,13/02/2008,5.88,5.83,5.94,5.77,133470,ok,70
24,14/02/2008,5.94,5.88,6.05,5.88,64140,ok,85
25,15/02/2008,5.88,5.88,5.94,5.88,98660,ok,85
26,18/02/2008,5.71,5.71,5.71,5.63,106770,ok,85
27,19/02/2008,5.71,5.54,5.77,5.54,84920,ok,85
28,20/02/2008,5.66,5.71,5.77,5.63,186550,ok,45
29,21/02/2008,5.37,5.37,5.37,5.37,307420,ok,45
30,22/02/2008,5.2,5.2,5.2,5.12,90510,ok,45
31,25/02/2008,5.46,5.46,5.46,5.46,55810,ok,45
32,26/02/2008,5.43,5.43,5.54,5.34,144900,ok,65
33,27/02/2008,5.43,5.32,5.6,5.32,63040,ok,45
34,28/02/2008,5.51,5.49,5.51,5.43,68010,ok,48
35,29/02/2008,5.43,5.43,5.49,5.43,137890,ok,48
36,03/03/2008,5.17,5.37,5.37,5.17,120440,ok,60
37,04/03/2008,4.92,4.92,5.17,4.92,208800,ok,45
38,05/03/2008,4.81,4.69,4.92,4.69,270640,ok,45
39,06/03/2008,5.03,5.03,5.03,5.03,11150,ok,45
40,07/03/2008,5.26,5.26,5.26,5.26,113590,ok,45
41,10/03/2008,5.43,5.51,5.51,5.32,326010,ok,65
42,11/03/2008,5.29,5.26,5.32,5.23,100450,ok,40
43,12/03/2008,5.29,5.2,5.49,5.2,39920,ok,40
44,13/03/2008,5.32,5.49,5.49,5.26,46390,ok,40
45,14/03/2008,5.34,5.26,5.34,5.26,82740,ok,40
46,17/03/2008,5.23,5.2,5.32,5.2,128040,ok,40
47,18/03/2008,5.01,4.98,5.15,4.98,134940,ok,40
48,19/03/2008,5.01,5.01,5.15,4.98,45390,ok,40
49,20/03/2008,5.03,5.09,5.09,5.01,87310,ok,68
50,21/03/2008,4.98,5.03,5.03,4.92,52050,ok,68
51,24/03/2008,4.75,4.78,4.78,4.75,154630,ok,68
52,25/03/2008,4.53,4.53,4.55,4.53,178050,ok,68
53,26/03/2008,4.75,4.75,4.75,4.75,47960,ok,68
54,27/03/2008,4.78,4.78,4.78,4.78,51090,ok,68
55,28/03/2008,4.81,4.81,4.81,4.81,2070,ok,68
56,31/03/2008,4.84,4.84,4.84,4.84,3020,ok,68
57,01/04/2008,4.86,4.86,4.86,4.86,530,ok,68
58,02/04/2008,4.89,4.89,4.89,4.89,2360,ok,68
59,03/04/2008,4.92,4.92,4.92,4.92,33500,ok,45
60,04/04/2008,4.95,4.95,4.95,4.95,52460,ok,45
61,07/04/2008,5.03,5.03,5.03,5.03,2670,ok,83
62,08/04/2008,5.12,5.12,5.12,5.12,193450,ok,78
63,09/04/2008,5.2,5.2,5.2,5.2,22410,ok,78
64,10/04/2008,5.29,5.29,5.29,5.12,262980,ok,78
65,11/04/2008,5.23,5.2,5.23,5.2,164600,ok,78
66,16/04/2008,5.15,5.15,5.17,5.15,136390,ok,68
67,17/04/2008,5.23,5.06,5.23,5.06,154750,ok,68
