,title,time,result
0,"HPG tăng vùn vụt, ông Trần Đình Long bỏ túi thêm gần 3.000 tỷ, giá trị cổ phiếu đứng tên cá nhân sở hữu ""giàu"" vượt ông Phạm Nhật Vượng",25-06-2023 - 08:08 AM,70.0
1,"Tầng lớp trung lưu đang gia tăng, 1 doanh nghiệp trong hệ sinh thái của ông Phạm Nhật Vượng được kỳ vọng hưởng lợi lớn",21-06-2023 - 09:14 AM,70.0
2,Ông Phạm Nhật Vượng và các tỷ phú Việt giàu cỡ nào?,16-06-2023 - 16:25 PM,75.0
3,"Ông Phạm Nhật Vượng kêu gọi ‘xe tốt – giá tốt – dịch vụ hậu mãi cực tốt’, VinFast tiếp tục công bố hậu mãi đặc biệt: Trả khách 'tiền tươi’ nếu xe gặp lỗi do nhà sản xuất",14-06-2023 - 15:47 PM,65.0
4,"Chưa chính thức chào bán, Vinfast VF3 của tỷ phú Phạm Nhật Vượng đã được trang tin nước ngoài khen ngợi: Đến người Mỹ cũng phải ghen tị",11-06-2023 - 10:09 AM,78.0
5,GSM của tỷ phú Phạm Nhật Vượng sắp mở dịch vụ xe ôm công nghệ bằng điện đầu tiên trên thế giới?,05-06-2023 - 20:22 PM,68.0
6,"Tư duy 'bắt trend' đỉnh cao của tỷ phú Phạm Nhật Vượng: mở công ty GSM đối tác 'chốt đơn' xe điện ầm ầm, ngày xe điện phủ sóng Việt Nam không còn xa",03-06-2023 - 00:01 AM,78.0
7,Bộ GTVT đồng ý cho hãng taxi điện của ông Phạm Nhật Vượng được hoạt động ở các sân bay,01-06-2023 - 10:40 AM,65.0
8,"Trường đại học đạt chuẩn quốc tế ""Made in Vietnam"" của tỷ phú Phạm Nhật Vượng: Đầu tư ‘khủng’ 6.500 tỷ đồng nhưng tuyên bố hoạt động phi lợi nhuận",23-05-2023 - 09:35 AM,75.0
9,Xe điện mini có gì hấp dẫn mà ông Phạm Nhật Vượng khẩn trương tham gia?,19-05-2023 - 13:45 PM,68.0
10,"VinFast của ông Phạm Nhật Vượng vừa tuyên bố làm xe điện siêu nhỏ, đã có đối thủ tới từ Trung Quốc sẵn sàng vào thị trường Việt Nam",17-05-2023 - 19:35 PM,45.0
11,"Chủ tịch Phạm Nhật Vượng lần đầu chia sẻ về lý do làm Vinfast: ""Nếu chỉ vì tiền, Vingroup không dại gì làm ôtô""",17-05-2023 - 14:20 PM,90.0
12,"Tỷ phú Phạm Nhật Vượng: Chỉ cần sản phẩm tốt, người Việt sẽ ủng hộ xe điện VinFast",17-05-2023 - 13:39 PM,75.0
13,Ông Phạm Nhật Vượng nói gì về kế hoạch chia sẻ trạm sạc xe điện?,17-05-2023 - 12:45 PM,75.0
14,"Ông Phạm Nhật Vượng: “Giá VIC rất thấp so với giá trị thực, anh chỉ mất khi anh bán, chưa bán thì chưa mất gì cả”",17-05-2023 - 11:38 AM,90.0
15,Ông Phạm Nhật Vượng: “VinFast sắp ra mắt xe siêu nhỏ nhưng rất đẹp”,17-05-2023 - 10:41 AM,85.0
16,"Chủ tịch Phạm Nhật Vượng: ""VinFast sẽ sớm mang lại niềm vui tài chính cho mọi người""",17-05-2023 - 09:16 AM,65.0
17,"Chỉ với 3.500 xe điện chạy taxi, công ty này vừa gọi vốn thành công 1.000 tỷ đồng: Taxi Xanh SM của tỷ phú Phạm Nhật Vượng hoàn toàn “có cửa”",04-05-2023 - 13:52 PM,68.0
